"","PERMNO","YEAR","RET","ret"
"462",10041,1987,-0.65789517389838,-0.65789517389838
"463",10041,1988,4.53421943547028e-07,4.53421943547028e-07
"464",10041,1989,-0.615384479661519,-0.615384479661519
"465",10041,1990,-0.4,-0.4
"466",10042,1986,-0.342856576888913,-0.342856576888913
"467",10042,1987,-0.282610791779913,-0.282610791779913
"468",10042,1988,1.06060374818926,1.06060374818926
"469",10042,1989,0.249995303116948,0.249995303116948
"470",10042,1990,-0.505881319736145,-0.505881319736145
"471",10042,1991,1.23810205260244,1.23810205260244
"472",10042,1992,-0.404256582292801,-0.404256582292801
"473",10042,1993,1.32143677355141,1.32143677355141
"474",10042,1994,-0.615384171135239,-0.615384171135239
"475",10042,1995,0.559995874900336,0.559995874900336
"476",10042,1996,0.0769259959315305,0.0769259959315305
"477",10042,1997,-0.571426810739317,-0.571426810739317
"478",10042,1998,-0.777778062901898,-0.777778062901898
"479",10042,1999,0.250001356328485,0.250001356328485
"480",10042,2000,-0.200000956081053,-0.200000956081053
"481",10042,2001,0.0299944929137523,0.0299944929137523
"482",10042,2002,0.0873756319499261,0.0873756319499261
"483",10042,2003,2.38393739924824,2.38393739924824
"484",10042,2004,-0.662268989330538,-0.662268989330538
"485",10042,2005,-0.429689252929555,-0.429689252929555
"486",10042,2006,0.150678798589582,0.150678798589582
"487",10042,2007,-0.547619695805765,-0.547619695805765
"488",10042,2008,0.105263173714016,0.105263173714016
"489",10043,1986,0.0336168315468608,0.0336168315468608
"490",10043,1987,0.239269597682435,0.239269597682435
"491",10043,1988,0.102519202828555,0.102519202828555
"492",10043,1989,-0.118467679924046,-0.118467679924046
"493",10043,1990,-0.212389804879636,-0.212389804879636
"494",10043,1991,-0.112303969723973,-0.112303969723973
"495",10043,1992,0.310796956711988,0.310796956711988
"496",10043,1993,0.623842478341597,0.623842478341597
"497",10043,1994,-0.118633824611272,-0.118633824611272
"498",10043,1995,-0.0543754373868802,-0.0543754373868802
"499",10043,1996,0.0298552646149364,0.0298552646149364
"500",10043,1997,0.980503126792796,0.980503126792796
"501",10043,1998,0.0769631385340075,0.0769631385340075
"502",10043,1999,0.293750651451691,0.293750651451691
"503",10044,1986,-0.274512281830777,-0.274512281830777
"504",10044,1987,-0.540541692302454,-0.540541692302454
"505",10044,1988,-0.098129297448961,-0.098129297448961
"506",10044,1989,0.826084093709476,0.826084093709476
"507",10044,1990,-0.29761917093614,-0.29761917093614
"508",10044,1991,0.338987264579797,0.338987264579797
"509",10044,1992,0.113925783686683,0.113925783686683
"510",10044,1993,1.40906848938243,1.40906848938243
"511",10044,1994,0.0188706068926836,0.0188706068926836
"512",10044,1995,-0.111113434059144,-0.111113434059144
"513",10044,1996,-0.52083330576642,-0.52083330576642
"514",10044,1997,-0.04347694957944,-0.04347694957944
"515",10044,1998,-0.0454508619204569,-0.0454508619204569
"516",10044,1999,4.73599737205177e-07,4.73599737205177e-07
"517",10044,2000,-0.345239818048296,-0.345239818048296
"518",10044,2001,3.14548816215544,3.14548816215544
"519",10044,2002,-0.239392074536181,-0.239392074536181
"520",10044,2003,0.590980976148626,0.590980976148626
"521",10044,2004,0.940811590062684,0.940811590062684
"522",10044,2005,0.580854183562408,0.580854183562408
"523",10044,2006,-0.0760304972906479,-0.0760304972906479
"524",10044,2007,0.162317224060728,0.162317224060728
"525",10044,2008,-0.650892759675078,-0.650892759675078
"526",10044,2009,0.608643338762471,0.608643338762471
"527",10044,2010,0.243514063396828,0.243514063396828
"528",10044,2011,-0.0775159720906986,-0.0775159720906986
"529",10044,2012,0.28728555985672,0.28728555985672
"530",10044,2013,0.137964040486438,0.137964040486438
"531",10044,2014,0.171625244687115,0.171625244687115
"532",10044,2015,-0.148902197539567,-0.148902197539567
"533",10044,2016,-0.00693036713152417,-0.00693036713152417
"534",10044,2017,0.204344583818189,0.204344583818189
"535",10045,1986,-0.370370365589195,-0.370370365589195
"536",10045,1987,-0.764706434900265,-0.764706434900265
"537",10046,1986,-0.573769519358125,-0.573769519358125
"538",10046,1987,1.07084163358806e-06,1.07084163358806e-06
"539",10046,1988,0.69230343527852,0.69230343527852
"540",10046,1989,-0.0454509146537482,-0.0454509146537482
"541",10046,1990,-0.690476533384591,-0.690476533384591
"542",10046,1991,-0.0384588104112256,-0.0384588104112256
"543",10046,1992,0.3599958240784,0.3599958240784
"544",10046,1993,0.0588144723472368,0.0588144723472368
"545",10046,1994,-0.611112338488867,-0.611112338488867
"546",10046,1995,-0.250001034312435,-0.250001034312435
"547",10047,1986,-0.558279418968354,-0.558279418968354
"548",10047,1987,-0.41666839425041,-0.41666839425041
"549",10047,1988,-0.630952567261299,-0.630952567261299
"550",10047,1989,0.741933848023102,0.741933848023102
"551",10047,1990,-0.592593201908286,-0.592593201908286
"552",10047,1991,0.454543739092335,0.454543739092335
"553",10047,1992,-0.688039301346747,-0.688039301346747
"554",10047,1993,-0.6956283990461,-0.6956283990461
"555",10047,1994,-0.666668493690174,-0.666668493690174
"556",10047,1995,-0.416666250089013,-0.416666250089013
"557",10048,1986,0.230768169815374,0.230768169815374
"558",10048,1987,0.775005363145107,0.775005363145107
"559",10048,1988,0.0668992221836258,0.0668992221836258
"560",10048,1989,0.544558428985125,0.544558428985125
"561",10048,1990,-0.4519215939612,-0.4519215939612
"562",10048,1991,0.954289666277254,0.954289666277254
"563",10048,1992,-0.178061128472572,-0.178061128472572
"564",10048,1993,0.348456604377809,0.348456604377809
"565",10048,1994,-0.347828688909598,-0.347828688909598
"566",10048,1995,0.0666697429284138,0.0666697429284138
"567",10048,1996,-0.289063263595023,-0.289063263595023
"568",10048,1997,0.714264818029303,0.714264818029303
"569",10048,1998,2.25320493078484,2.25320493078484
"570",10048,1999,0.395075122928154,0.395075122928154
"571",10050,1973,-0.414028082968057,-0.414028082968057
"572",10050,1974,-0.350431311595731,-0.350431311595731
"573",10050,1975,0.424530155132926,0.424530155132926
"574",10050,1976,0.4609812912164,0.4609812912164
"575",10050,1977,1.16724842887007,1.16724842887007
"576",10050,1978,-0.140320224834551,-0.140320224834551
"577",10050,1979,0,0
"578",10051,1986,0.656253043316809,0.656253043316809
"579",10051,1987,-0.698113918717574,-0.698113918717574
"580",10051,1988,1.56549943874928e-06,1.56549943874928e-06
"581",10051,1989,-0.437499441125789,-0.437499441125789
"582",10051,1990,1.88889240730368,1.88889240730368
"583",10051,1991,0.576925262675013,0.576925262675013
"584",10051,1992,-0.195124098698671,-0.195124098698671
"585",10051,1993,-0.242425390504331,-0.242425390504331
"586",10051,1994,-0.519998285947054,-0.519998285947054
